character_name,episode_appearance_count
Joffrey Baratheon,26
Benjen Stark,6
Leaf,5
Braavosi Captain,1
Farlen,1
Lannister Messenger,1
Denys Mallister,1
Brothel Customer,2
Sorcerer,1
Jhiqui,1
Eyrie Guard,1
Yezzan zo Qaggaz,4
Theon Greyjoy,45
Wun Wun Wight,1
Anguy,6
Brea,1
The Maiden,1
Khal Qorro,1
Slaver,1
Harald Karstark,3
Donnel Waynwood,2
Melisandre,29
Iggo,1
Bobono,2
Renly Baratheon,8
Dagmer Cleftjaw,5
Tommen's Manservant,1
Kraznys mo Nakloz,3
Gordy,1
Khal Drogo,10
Rast,11
Robin Arryn,8
Pypar,13
Septon,2
High Priestess,2
Tyrion Lannister,63
Samwell Tarly,45
Grenn,22
Tommen Baratheon,24
Zanrush,2
Kitty Frey,2
The Smith,1
Kegs,1
King Balon Greyjoy Dwarf,1
Lem Lemoncloak,2
Aerys Targaryen,1
Belicho Paenymion,2
Vayon Poole,1
Hugh of the Vale,2
Prendahl na Ghezn,1
Arthur,2
Wun Wun,5
Hot Pie,12
Baby Jon Snow,1
Silk King,2
Mole's Town Whore,2
King's Landing Drunkard,1
Kevin Eldon,1
Goatherd,2
Hog Farmer,1
Syrio Forel,3
Beggar Woman,1
King Joffrey Baratheon Dwarf,1
Maester Cressen,1
Thenn Warg,3
Craster's Wife,1
Wounded Lannister Soldier,1
Koner,1
Quent,1
The Mother,1
Lommy Greenhands,4
Merchant Captain,1
Janos Slynt,14
Akho,3
Oznak zo Pahl,1
Armeca,4
Warlock,1
Septa Unella,8
Manservant,1
Sandor Clegane,35
Protestor,1
Karl Tanner,4
Lannister Guard,2
Farmer Hamlet,2
Riverlands Traveller,1
Night's Watchman #2,2
Three-Eyed Raven,9
Jaremy Rykker,1
Jaqen's Disguise,1
Winterfell Shepherd,2
Volantene Whore #5,1
Volantene Whore #2,1
Volantene Whore #3,1
Volantene Whore #1,1
Thin Man,2
Hizdahr zo Loraq,8
Sansa Stark,56
Lord Varys,42
Daario Naharis,20
Axell Florent,1
Locke,8
Wine Merchant,1
Gared,1
Mero,1
Tortured Slave,1
Areo Hotah,6
Craster's Younger Wife,1
Bear Island Maester,1
Old Woman,3
Jaqen H'ghar,17
Lead Kingsguard,1
Qhono,9
Lordsport Dockhand,1
Captain's Daughter,1
Maester Aemon,11
Stone Man,1
Orell,6
Black Lorren,4
Quaithe,2
Frances,2
Wendel Manderly,1
Mycah,1
Rickon Stark,14
Kovarro,7
Rhaegar Targaryen,1
Ghost,21
Tobho Mott,2
Varly,1
Bolton Guard,1
Will,1
Musician #2,3
Musician #1,3
Timett,3
Musician #5,2
Daisy,3
Matthos Seaworth,4
Missandei,36
The Stranger,1
Goldcloak,1
Wyman Manderly,1
Stark Soldier,1
Lancel Lannister,15
Alton Lannister,3
Old Woman Prisoner,1
Jory Cassel,5
Mallister Supporter,1
Little Bird #5,2
Aya,1
Ternesio Terys,2
Sparring Boy,1
Rickard Stark,1
Yoren,7
Willa,2
Citadel Maester,1
Melara Hetherspoon,1
Talla Tarly,1
Gerold Hightower,1
Aeron Greyjoy,2
Desmond Crakehall,1
Master Torturer,2
Rhaego,3
Mossador,3
Moro's Wife #1,1
Polliver,3
Dim Dalba,2
Sissy,2
Meryn Trant,16
Morgan's Friend,1
Ironborn in Skiff,1
Baratheon Soldier #1,1
Baratheon Soldier #2,1
Summer,15
Jorah Mormont,50
Olly,17
Sailor,1
Robb Stark,23
Yara Greyjoy,15
Whore,1
Street Urchin,1
Rorge,3
Anara,1
Meera Reed,16
Derek,1
Mully,1
Mord,2
Balon Greyjoy,4
Son of the Harpy,1
Bran Stark,37
Braavosi Madam,1
Razdal mo Eraz,3
Old Nan,2
Whore #1,2
Whore #2,2
Whore #3,1
Whore #4,1
Whore #5,1
Whore #6,1
Tomard,1
Yohn Royce,11
Viserys Targaryen,5
Qhorin Halfhand,4
Valyrian Slave,1
Musician #3,3
Ralf Kenning,1
Robett Glover,6
Nymeria Sand,8
Maester Luwin,14
Innkeeper's Daughter,1
Unsullied,1
Rhaegal,26
Mance Rayder,5
Cooper,1
Lannister Scout,1
Old Man,2
Moro's Wife #2,1
Gilly,25
Stiv,1
Brothel Guard,1
Mag the Mighty Wight,1
Stannis Baratheon,24
Archmaester Ebrose,4
Jacks,1
Vala,3
Tywin Lannister,27
Walder Frey,6
Septa Mordane,7
King Renly Baratheon Dwarf,1
Fruit Vendor,1
Dothraki Bloodrider #2,2
Dothraki Bloodrider #1,2
Joyeuse Erenford,2
Jeor Mormont,12
Faith Militant #2,1
Aggo,1
Oberyn Martell,7
Roose Bolton,19
King's Landing Flasher #2,1
King's Landing Flasher #1,1
Lyanna Stark,2
Obara Sand,8
Strong Sam Stone,1
High Septon,8
The Night King,8
Braavosi Theatre Server,1
Euron Greyjoy,7
Addam Marbrand,1
Handmaid,5
King's Landing Tailor,1
Tyrell Guard,1
Torrhen Karstark,1
Bolton Soldier,1
Margaery Tyrell Mummer,2
Margaery's Handmaiden,1
Boat Commander,1
Loyal Night's Watchman #2,2
Walda Bolton,5
Amory Lorch,3
Young Cersei Lannister,1
Loboda,1
Mandon Moore,2
Ryger Rivers,1
Young Lyanna Stark,1
Mhaegen,2
Eddard Stark,12
King's Landing Baker,1
Eldrick Sarsfield,1
Ash,1
Lord Blackmont,1
Kevan Lannister,12
Gendry,21
King's Landing Whore,2
Jafer Flowers,1
Laurence Spellman,1
Wight Wildling Girl,2
Elder Meereen Slave,1
Brusco,1
Vance Corbray,1
Lord Portan,1
Leo Lefford,1
Greizhen mo Ullhor,2
Hallyne,2
Faith Militant #1,1
Despondent Man,1
Mag the Mighty,1
Tansy,1
King's Landing Rioter #1,2
Trystane Martell,5
Randyll Tarly,5
Tyene Sand,9
Jon Arryn,1
Illyrio Mopatis,2
Barra,1
Man of the Nightswatch,1
White Rat,1
Winterfell Boy,1
Brothel Child #2,1
Brothel Child #1,1
Khal Forzho,1
Bianca,2
Qotho,5
Davos Seaworth,38
Izembaro,2
Night's Watchman,2
Brant,1
Harrag,3
Young Braavosi,1
Myranda,8
Sellsword #1,1
Sellsword #2,1
Dothraki Crone,1
Marillion,3
Grey Wind,8
Mummer #4,2
Tortured Prisoner,1
Podrick Payne,31
Brynden Tully,7
Ned Umber,3
Mace Tyrell,13
Westerosi Trader,1
Xaro Xhoan Daxos,5
Myrcella Baratheon,14
Todder,2
Karsi,1
Riddell,1
Lannister Guard #1,1
Lannister Guard #2,1
Shaggydog,9
Donnel Hill,1
Ghita,2
Thoros of Myr,10
Olly's Mother,1
Irri,11
Howland Reed,1
Lannister Soldier,1
Tully Bannerman,1
Catelyn Stark,26
Bronn,34
Martyn Lannister,2
The Mother of Dragons,1
The Bear,1
Black Walder Rivers,5
Septa Scolera,1
Ramsay Snow,20
Greatjon Umber,3
Steve,1
Smalljon Umber,2
Rickard Karstark,6
Violet,1
Maggy,1
Qyburn,20
Jon Snow,58
Khal Brozho,1
Great Master #3,1
Great Master #2,1
Great Master #1,2
Great Master #7,1
Great Master #6,1
Great Master #5,1
Great Master #4,1
Harry Strickland,1
Drogon,30
Olenna Tyrell,18
Dothraki Man Having Sex,1
The Tickler,2
Lannister Captain,1
Innkeeper,1
Osha,16
Craster's Wife #3,1
Craster's Wife #2,1
Lysa Arryn,5
Little Bird #4,2
Arthur Dayne,1
Little Bird #6,2
Little Bird #7,2
Rennick,1
Little Bird #3,2
Fergus,1
Soldier Tom,1
Olyvar,7
Doreah,11
Biter,3
Barristan Selmy,25
Viserion,25
Red Priestess,2
Lyanna Mormont,7
Second Son,1
Selyse Baratheon,11
Edmure Tully,8
Ellaria Sand,13
Beric Dondarrion,12
Hodor,23
The Warrior,1
White Walker,14
Hoster Tully,1
Ygritte,17
King Stannis Baratheon Dwarf,1
Joss,2
Kesh,1
Merry Frey,1
Loyal Night's Watchman #1,2
Mirelle,1
Cersei Lannister,59
Bolton Officer,1
Young Rodrik Cassel,2
Lead Dornish Guard,1
Dongo the Giant,3
Wallen,1
Tyrell Lady,1
Royal Steward,4
Rodrik Cassel,12
Septa Moelle,1
Captain of the Archers,1
Alys Karstark,4
Nymeria,3
Melessa Tarly,1
Karstark Lookout,1
Lhara,3
Dothraki Woman Having Sex,1
Goatherd's Son,1
Bowen Marsh,8
King's Landing Rioter #2,2
King's Landing Rioter #3,2
Morag,2
Petyr Baelish,41
Grand Maester Pycelle,30
Robert Baratheon,7
Dothraki Widow #1,2
Mole's Town Madam,1
Willem Lannister,2
Teela,1
Jonos Bracken,1
Waymar Royce,1
Jojen Reed,10
Jaime Lannister,51
Faceless Man,1
Othor,1
Dontos Hollard,5
Vardis Egen,2
Mago,1
Camello,2
Young Ned Stark,6
Craster,5
The Crone,1
Lady Crane,3
Dirah,1
Dothraki Widow #2,2
Doran Martell,5
Gerard,1
Qartheen Woman,1
Shagga,2
Arya Stark,55
Drennan,2
Winter Town Man,1
Ornela,2
Brother Ray,1
King's Landing Boaster,1
Guymon,1
Farmer's Daughter,2
Shireen Baratheon,10
Maester Caleotte,1
Grey Worm,29
King Robb Stark Dwarf,1
Genna,1
Frey Guard,1
Bernadette,1
Marei,5
Chella,2
Little Bird,2
Kayla,2
Tycho Nestoris,4
Rattleshirt,4
Braavosi Woman #2,1
Braavosi Woman #1,1
Craya,1
Othell Yarwyck,13
Clarenzo,3
Alliser Thorne,19
Malko,2
Village Woman,1
Rakharo,7
Young Nan,2
Adrack Humble,1
Fennesz,1
Steelshanks Walton,1
The Waif,11
Wildling Rioter,1
Ros,14
Johnna,2
Brienne of Tarth,38
Ironborn Abusing a Volantene Whore,1
Eddison Tollett,32
Black Jack Bulwer,1
Red Keep Stableboy,1
Inn Waitress,1
Tyrell Servant,1
Lothar Frey,6
Reginald Lannister,1
Ironborn at Brothel,1
Shae,20
High Sparrow,12
Catspaw Assassin,1
Khal Rhalko,1
Orphan Kid,1
Baby Sam,20
Northman Rioter,1
Frey Soldier #2,1
Frey Soldier #1,1
Roslin Frey,1
Colen of Greenpools,1
Street Tough #2,1
Street Tough #1,1
Night's Watchman #1,1
Gregor Clegane,21
Mirri Maz Duur,3
Yunkai'i Whore,1
Young Benjen Stark,2
Henk,1
Pit Announcer,1
Bathhouse Prostitute,1
Meereenese Homeless Mother,1
Mummer #3,2
Mummer #2,2
Daenerys Targaryen,58
Spice King,3
Singing Lannister Soldier,1
Musician #4,2
Maester Sandhu,1
Cley Cerwyn,1
The Waif's Disguise,2
Talisa Maegyr,11
Maester Wolkan,10
Dwarf Hunter #1,1
Dwarf Hunter #2,1
First Mate,1
Pyat Pree,4
Bannen,1
Anya Waynwood,1
Lollys Stokeworth,1
Dickon Tarly,5
Adele Smyth-Kennedy,1
Margaery Tyrell,26
Lady,2
Volantene Whore #4,1
Stark Messenger,1
Northern Lord,1
Baratheon General,1
Bolton General,1
Stevron Frey,1
Tormund Giantsbane,30
Morgan,3
Ser Endrew Tarth,1
Ilyn Payne,5
Salladhor Saan,3
Simpson,1
Braavosi Theatre Sound Artist,2
Gatins,2
Drowned Priest,1
Newborn Bolton,1
Loras Tyrell,19
Styr,4
Kinvara,1
Ironborn #3,1
Ironborn #2,1
Ironborn #1,1
Wyllis,2
Clea,1
Khal Moro,3
